,name,target_label,height,width,x_min,x_max,y_min,y_max
0,5_0.png,5,28,28,18,46,18,46
1,0_1.png,0,28,28,37,65,37,65
2,4_2.png,4,28,28,15,43,15,43
3,1_3.png,1,28,28,38,66,38,66
4,9_4.png,9,28,28,42,70,42,70
5,2_5.png,2,28,28,35,63,35,63
6,1_6.png,1,28,28,12,40,12,40
7,3_7.png,3,28,28,37,65,37,65
8,1_8.png,1,28,28,40,68,40,68
9,4_9.png,4,28,28,22,50,22,50
10,3_10.png,3,28,28,15,43,15,43
11,5_11.png,5,28,28,31,59,31,59
12,3_12.png,3,28,28,27,55,27,55
13,6_13.png,6,28,28,37,65,37,65
14,1_14.png,1,28,28,39,67,39,67
15,7_15.png,7,28,28,37,65,37,65
16,2_16.png,2,28,28,40,68,40,68
17,8_17.png,8,28,28,2,30,2,30
18,6_18.png,6,28,28,23,51,23,51
19,9_19.png,9,28,28,1,29,1,29
20,4_20.png,4,28,28,27,55,27,55
21,0_21.png,0,28,28,12,40,12,40
22,9_22.png,9,28,28,36,64,36,64
23,1_23.png,1,28,28,35,63,35,63
24,1_24.png,1,28,28,19,47,19,47
25,2_25.png,2,28,28,37,65,37,65
26,4_26.png,4,28,28,38,66,38,66
27,3_27.png,3,28,28,29,57,29,57
28,2_28.png,2,28,28,5,33,5,33
29,7_29.png,7,28,28,38,66,38,66
30,3_30.png,3,28,28,14,42,14,42
31,8_31.png,8,28,28,8,36,8,36
32,6_32.png,6,28,28,23,51,23,51
33,9_33.png,9,28,28,31,59,31,59
34,0_34.png,0,28,28,33,61,33,61
35,5_35.png,5,28,28,41,69,41,69
36,6_36.png,6,28,28,27,55,27,55
37,0_37.png,0,28,28,32,60,32,60
38,7_38.png,7,28,28,14,42,14,42
39,6_39.png,6,28,28,31,59,31,59
40,1_40.png,1,28,28,42,70,42,70
41,8_41.png,8,28,28,27,55,27,55
42,7_42.png,7,28,28,13,41,13,41
43,9_43.png,9,28,28,10,38,10,38
44,3_44.png,3,28,28,42,70,42,70
45,9_45.png,9,28,28,0,28,0,28
46,8_46.png,8,28,28,25,53,25,53
47,5_47.png,5,28,28,32,60,32,60
48,9_48.png,9,28,28,34,62,34,62
49,3_49.png,3,28,28,37,65,37,65
50,3_50.png,3,28,28,31,59,31,59
51,0_51.png,0,28,28,26,54,26,54
52,7_52.png,7,28,28,20,48,20,48
53,4_53.png,4,28,28,31,59,31,59
54,9_54.png,9,28,28,2,30,2,30
55,8_55.png,8,28,28,18,46,18,46
56,0_56.png,0,28,28,30,58,30,58
57,9_57.png,9,28,28,23,51,23,51
58,4_58.png,4,28,28,0,28,0,28
59,1_59.png,1,28,28,6,34,6,34
60,4_60.png,4,28,28,10,38,10,38
61,4_61.png,4,28,28,20,48,20,48
62,6_62.png,6,28,28,30,58,30,58
63,0_63.png,0,28,28,23,51,23,51
64,4_64.png,4,28,28,31,59,31,59
65,5_65.png,5,28,28,20,48,20,48
66,6_66.png,6,28,28,4,32,4,32
67,1_67.png,1,28,28,9,37,9,37
68,0_68.png,0,28,28,0,28,0,28
69,0_69.png,0,28,28,33,61,33,61
70,1_70.png,1,28,28,18,46,18,46
71,7_71.png,7,28,28,13,41,13,41
72,1_72.png,1,28,28,0,28,0,28
73,6_73.png,6,28,28,37,65,37,65
74,3_74.png,3,28,28,2,30,2,30
75,0_75.png,0,28,28,11,39,11,39
76,2_76.png,2,28,28,19,47,19,47
77,1_77.png,1,28,28,42,70,42,70
78,1_78.png,1,28,28,30,58,30,58
79,7_79.png,7,28,28,21,49,21,49
80,9_80.png,9,28,28,23,51,23,51
81,0_81.png,0,28,28,33,61,33,61
82,2_82.png,2,28,28,39,67,39,67
83,6_83.png,6,28,28,26,54,26,54
84,7_84.png,7,28,28,8,36,8,36
85,8_85.png,8,28,28,32,60,32,60
86,3_86.png,3,28,28,29,57,29,57
87,9_87.png,9,28,28,38,66,38,66
88,0_88.png,0,28,28,27,55,27,55
89,4_89.png,4,28,28,33,61,33,61
90,6_90.png,6,28,28,38,66,38,66
91,7_91.png,7,28,28,29,57,29,57
92,4_92.png,4,28,28,0,28,0,28
93,6_93.png,6,28,28,26,54,26,54
94,8_94.png,8,28,28,6,34,6,34
95,0_95.png,0,28,28,41,69,41,69
96,7_96.png,7,28,28,21,49,21,49
97,8_97.png,8,28,28,21,49,21,49
98,3_98.png,3,28,28,22,50,22,50
99,1_99.png,1,28,28,3,31,3,31
100,5_100.png,5,28,28,37,65,37,65
101,7_101.png,7,28,28,42,70,42,70
102,1_102.png,1,28,28,3,31,3,31
103,7_103.png,7,28,28,29,57,29,57
104,1_104.png,1,28,28,34,62,34,62
105,1_105.png,1,28,28,3,31,3,31
106,6_106.png,6,28,28,15,43,15,43
107,3_107.png,3,28,28,17,45,17,45
108,0_108.png,0,28,28,15,43,15,43
109,2_109.png,2,28,28,28,56,28,56
110,9_110.png,9,28,28,6,34,6,34
111,3_111.png,3,28,28,8,36,8,36
112,1_112.png,1,28,28,36,64,36,64
113,1_113.png,1,28,28,20,48,20,48
114,0_114.png,0,28,28,40,68,40,68
115,4_115.png,4,28,28,21,49,21,49
116,9_116.png,9,28,28,29,57,29,57
117,2_117.png,2,28,28,13,41,13,41
118,0_118.png,0,28,28,41,69,41,69
119,0_119.png,0,28,28,36,64,36,64
120,2_120.png,2,28,28,21,49,21,49
121,0_121.png,0,28,28,6,34,6,34
122,2_122.png,2,28,28,7,35,7,35
123,7_123.png,7,28,28,39,67,39,67
124,1_124.png,1,28,28,28,56,28,56
125,8_125.png,8,28,28,36,64,36,64
126,6_126.png,6,28,28,40,68,40,68
127,4_127.png,4,28,28,39,67,39,67
128,1_128.png,1,28,28,16,44,16,44
129,6_129.png,6,28,28,5,33,5,33
130,3_130.png,3,28,28,3,31,3,31
131,4_131.png,4,28,28,41,69,41,69
132,5_132.png,5,28,28,14,42,14,42
133,9_133.png,9,28,28,38,66,38,66
134,1_134.png,1,28,28,27,55,27,55
135,3_135.png,3,28,28,36,64,36,64
136,3_136.png,3,28,28,31,59,31,59
137,8_137.png,8,28,28,14,42,14,42
138,5_138.png,5,28,28,30,58,30,58
139,4_139.png,4,28,28,13,41,13,41
140,7_140.png,7,28,28,31,59,31,59
141,7_141.png,7,28,28,19,47,19,47
142,4_142.png,4,28,28,20,48,20,48
143,2_143.png,2,28,28,11,39,11,39
144,8_144.png,8,28,28,27,55,27,55
145,5_145.png,5,28,28,5,33,5,33
146,8_146.png,8,28,28,40,68,40,68
147,6_147.png,6,28,28,36,64,36,64
148,7_148.png,7,28,28,42,70,42,70
149,3_149.png,3,28,28,19,47,19,47
150,4_150.png,4,28,28,35,63,35,63
151,6_151.png,6,28,28,2,30,2,30
152,1_152.png,1,28,28,33,61,33,61
153,9_153.png,9,28,28,32,60,32,60
154,9_154.png,9,28,28,42,70,42,70
155,6_155.png,6,28,28,4,32,4,32
156,0_156.png,0,28,28,31,59,31,59
157,3_157.png,3,28,28,28,56,28,56
158,7_158.png,7,28,28,7,35,7,35
159,2_159.png,2,28,28,5,33,5,33
160,8_160.png,8,28,28,35,63,35,63
161,2_161.png,2,28,28,8,36,8,36
162,9_162.png,9,28,28,31,59,31,59
163,4_163.png,4,28,28,38,66,38,66
164,4_164.png,4,28,28,24,52,24,52
165,6_165.png,6,28,28,1,29,1,29
166,4_166.png,4,28,28,6,34,6,34
167,9_167.png,9,28,28,35,63,35,63
168,7_168.png,7,28,28,26,54,26,54
169,0_169.png,0,28,28,15,43,15,43
170,9_170.png,9,28,28,1,29,1,29
171,2_171.png,2,28,28,9,37,9,37
172,9_172.png,9,28,28,8,36,8,36
173,5_173.png,5,28,28,13,41,13,41
174,1_174.png,1,28,28,4,32,4,32
175,5_175.png,5,28,28,14,42,14,42
176,9_176.png,9,28,28,22,50,22,50
177,1_177.png,1,28,28,13,41,13,41
178,2_178.png,2,28,28,2,30,2,30
179,3_179.png,3,28,28,18,46,18,46
180,2_180.png,2,28,28,17,45,17,45
181,3_181.png,3,28,28,23,51,23,51
182,5_182.png,5,28,28,8,36,8,36
183,9_183.png,9,28,28,21,49,21,49
184,1_184.png,1,28,28,27,55,27,55
185,7_185.png,7,28,28,25,53,25,53
186,6_186.png,6,28,28,17,45,17,45
187,2_187.png,2,28,28,23,51,23,51
188,8_188.png,8,28,28,5,33,5,33
189,2_189.png,2,28,28,30,58,30,58
190,2_190.png,2,28,28,3,31,3,31
191,5_191.png,5,28,28,21,49,21,49
192,0_192.png,0,28,28,18,46,18,46
193,7_193.png,7,28,28,19,47,19,47
194,4_194.png,4,28,28,42,70,42,70
195,9_195.png,9,28,28,29,57,29,57
196,7_196.png,7,28,28,27,55,27,55
197,8_197.png,8,28,28,19,47,19,47
198,3_198.png,3,28,28,8,36,8,36
199,2_199.png,2,28,28,13,41,13,41
200,1_200.png,1,28,28,39,67,39,67
201,1_201.png,1,28,28,38,66,38,66
202,8_202.png,8,28,28,6,34,6,34
203,3_203.png,3,28,28,7,35,7,35
204,6_204.png,6,28,28,41,69,41,69
205,1_205.png,1,28,28,3,31,3,31
206,0_206.png,0,28,28,37,65,37,65
207,3_207.png,3,28,28,19,47,19,47
208,1_208.png,1,28,28,35,63,35,63
209,0_209.png,0,28,28,7,35,7,35
210,0_210.png,0,28,28,39,67,39,67
211,1_211.png,1,28,28,34,62,34,62
212,7_212.png,7,28,28,16,44,16,44
213,2_213.png,2,28,28,1,29,1,29
214,7_214.png,7,28,28,35,63,35,63
215,3_215.png,3,28,28,31,59,31,59
216,0_216.png,0,28,28,7,35,7,35
217,4_217.png,4,28,28,8,36,8,36
218,6_218.png,6,28,28,0,28,0,28
219,5_219.png,5,28,28,13,41,13,41
220,2_220.png,2,28,28,2,30,2,30
221,6_221.png,6,28,28,23,51,23,51
222,4_222.png,4,28,28,32,60,32,60
223,7_223.png,7,28,28,6,34,6,34
224,1_224.png,1,28,28,40,68,40,68
225,8_225.png,8,28,28,42,70,42,70
226,9_226.png,9,28,28,36,64,36,64
227,9_227.png,9,28,28,20,48,20,48
228,3_228.png,3,28,28,26,54,26,54
229,0_229.png,0,28,28,19,47,19,47
230,7_230.png,7,28,28,11,39,11,39
231,1_231.png,1,28,28,4,32,4,32
232,0_232.png,0,28,28,6,34,6,34
233,2_233.png,2,28,28,29,57,29,57
234,0_234.png,0,28,28,21,49,21,49
235,3_235.png,3,28,28,33,61,33,61
236,5_236.png,5,28,28,33,61,33,61
237,4_237.png,4,28,28,39,67,39,67
238,6_238.png,6,28,28,21,49,21,49
239,5_239.png,5,28,28,9,37,9,37
240,8_240.png,8,28,28,12,40,12,40
241,6_241.png,6,28,28,28,56,28,56
242,3_242.png,3,28,28,1,29,1,29
243,7_243.png,7,28,28,2,30,2,30
244,5_244.png,5,28,28,12,40,12,40
245,8_245.png,8,28,28,14,42,14,42
246,0_246.png,0,28,28,10,38,10,38
247,9_247.png,9,28,28,0,28,0,28
248,1_248.png,1,28,28,35,63,35,63
249,0_249.png,0,28,28,29,57,29,57
250,3_250.png,3,28,28,9,37,9,37
251,1_251.png,1,28,28,19,47,19,47
252,2_252.png,2,28,28,9,37,9,37
253,2_253.png,2,28,28,12,40,12,40
254,3_254.png,3,28,28,20,48,20,48
255,3_255.png,3,28,28,17,45,17,45
256,6_256.png,6,28,28,21,49,21,49
257,4_257.png,4,28,28,39,67,39,67
258,7_258.png,7,28,28,0,28,0,28
259,5_259.png,5,28,28,1,29,1,29
260,0_260.png,0,28,28,39,67,39,67
261,6_261.png,6,28,28,27,55,27,55
262,2_262.png,2,28,28,31,59,31,59
263,7_263.png,7,28,28,9,37,9,37
264,9_264.png,9,28,28,41,69,41,69
265,8_265.png,8,28,28,2,30,2,30
266,5_266.png,5,28,28,1,29,1,29
267,9_267.png,9,28,28,34,62,34,62
268,2_268.png,2,28,28,42,70,42,70
269,1_269.png,1,28,28,4,32,4,32
270,1_270.png,1,28,28,23,51,23,51
271,4_271.png,4,28,28,20,48,20,48
272,4_272.png,4,28,28,32,60,32,60
273,5_273.png,5,28,28,11,39,11,39
274,6_274.png,6,28,28,28,56,28,56
275,4_275.png,4,28,28,26,54,26,54
276,1_276.png,1,28,28,31,59,31,59
277,2_277.png,2,28,28,3,31,3,31
278,5_278.png,5,28,28,12,40,12,40
279,3_279.png,3,28,28,22,50,22,50
280,9_280.png,9,28,28,17,45,17,45
281,3_281.png,3,28,28,40,68,40,68
282,9_282.png,9,28,28,18,46,18,46
283,0_283.png,0,28,28,9,37,9,37
284,5_284.png,5,28,28,7,35,7,35
285,9_285.png,9,28,28,38,66,38,66
286,6_286.png,6,28,28,28,56,28,56
287,5_287.png,5,28,28,26,54,26,54
288,7_288.png,7,28,28,33,61,33,61
289,4_289.png,4,28,28,7,35,7,35
290,1_290.png,1,28,28,7,35,7,35
291,3_291.png,3,28,28,9,37,9,37
292,4_292.png,4,28,28,37,65,37,65
293,0_293.png,0,28,28,40,68,40,68
